New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
189501,17.6,-2.6
189601,17.2,-3.0
189701,19.3,-0.9
189801,20.8,0.6
189901,19.2,-1.0
190001,21.7,1.5
190101,20.0,-0.2
190201,17.9,-2.3
190301,20.2,0.0
190401,12.3,-7.9
190501,15.5,-4.7
190601,27.3,7.1
190701,19.6,-0.6
190801,19.8,-0.4
190901,22.7,2.5
191001,21.2,1.0
191101,22.2,2.0
191201,10.8,-9.4
191301,29.4,9.2
191401,19.7,-0.5
191501,22.0,1.8
191601,25.3,5.1
191701,19.2,-1.0
191801,9.4,-10.8
191901,25.0,4.8
192001,10.4,-9.8
192101,22.8,2.6
192201,16.3,-3.9
192301,17.4,-2.8
192401,21.4,1.2
192501,15.9,-4.3
192601,20.8,0.6
192701,18.6,-1.6
192801,22.2,2.0
192901,19.4,-0.8
193001,21.4,1.2
193101,20.2,0.0
193201,31.9,11.7
193301,30.0,9.8
193401,22.2,2.0
193501,16.7,-3.5
193601,17.7,-2.5
193701,28.5,8.3
193801,19.1,-1.1
193901,20.3,0.1
194001,12.0,-8.2
194101,17.8,-2.4
194201,19.5,-0.7
194301,16.3,-3.9
194401,23.3,3.1
194501,11.6,-8.6
194601,21.4,1.2
194701,24.3,4.1
194801,13.8,-6.4
194901,26.4,6.2
195001,29.2,9.0
195101,23.5,3.3
195201,23.4,3.2
195301,26.2,6.0
195401,17.2,-3.0
195501,17.8,-2.4
195601,20.2,0.0
195701,14.5,-5.7
195801,20.2,0.0
195901,18.0,-2.2
196001,20.9,0.7
196101,13.9,-6.3
196201,19.1,-1.1
196301,17.1,-3.1
196401,22.6,2.4
196501,16.8,-3.4
196601,17.6,-2.6
196701,26.1,5.9
196801,14.1,-6.1
196901,19.6,-0.6
197001,10.8,-9.4
197101,14.4,-5.8
197201,22.0,1.8
197301,23.9,3.7
197401,22.5,2.3
197501,24.4,4.2
197601,13.8,-6.4
197701,11.0,-9.2
197801,16.9,-3.3
197901,19.0,-1.2
198001,21.6,1.4
198101,11.9,-8.3
198201,12.0,-8.2
198301,22.2,2.0
198401,16.7,-3.5
198501,16.1,-4.1
198601,21.2,1.0
198701,20.3,0.1
198801,19.2,-1.0
198901,25.6,5.4
199001,30.3,10.1
199101,21.0,0.8
199201,22.2,2.0
199301,24.3,4.1
199401,10.6,-9.6
199501,27.2,7.0
199601,18.9,-1.3
199701,20.0,-0.2
199801,27.5,7.3
199901,20.7,0.5
200001,19.2,-1.0
200101,22.4,2.2
200201,29.1,8.9
200301,14.6,-5.6
200401,12.8,-7.4
200501,18.6,-1.6
200601,30.1,9.9
200701,25.2,5.0
200801,25.9,5.7
200901,15.0,-5.2
201001,21.8,1.6
201101,18.6,-1.6
201201,26.0,5.8
201301,24.3,4.1
201401,16.9,-3.3
201501,16.2,-4.0
201601,23.7,3.5
201701,27.9,7.7
201801,19.1,-1.1
201901,19.4,-0.8
202001,27.7,7.5
202101,24.0,3.8
202201,15.8,-4.4
202301,30.6,10.4
